2025-06-16 14:42:46,463 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-16 14:42:46,463 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250616_144246.log
2025-06-16 14:42:46,464 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-16 14:42:46,465 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-16 14:42:46,465 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 100
2025-06-16 14:42:46,465 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [100, 2000, 5050]
2025-06-16 14:42:46,466 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-16 14:42:46,466 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-16 14:42:46,466 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=10.0, lr=0.001, batch_size=256
2025-06-16 14:42:46,466 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 14:42:46,467 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=100 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-01   (r(λ) prev = 100)
  λ=1.000e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.127657e+00 | ‖ω‖₁=7.523742e+01
  λ=1.000e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.687116e+00 | ‖ω‖₁=7.472051e-01
  λ=1.000e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=6.075475e-01 | ‖ω‖₁=6.149321e-01
  λ=1.000e-01 | Epoch  30 | lr=1.0000e-03 | Recon MSE=2.970143e-01 | ‖ω‖₁=5.238263e-01
  λ=1.000e-01 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.353295e-01 | ‖ω‖₁=4.485504e-01
  λ=1.000e-01 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.143033e-01 | ‖ω‖₁=3.842624e-01
  λ=1.000e-01 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.001371e-01 | ‖ω‖₁=3.282093e-01
  λ=1.000e-01 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.912956e-01 | ‖ω‖₁=2.778823e-01
  λ=1.000e-01 | Epoch  80 | lr=2.5000e-04 | Recon MSE=1.904160e-01 | ‖ω‖₁=2.339185e-01
  λ=1.000e-01 | Epoch  90 | lr=2.5000e-04 | Recon MSE=1.879029e-01 | ‖ω‖₁=1.959955e-01
  λ=1.000e-01 | Epoch 100 | lr=1.2500e-04 | Recon MSE=1.991447e-01 | ‖ω‖₁=1.617325e-01
  λ=1.000e-01 | Epoch 110 | lr=1.2500e-04 | Recon MSE=2.089864e-01 | ‖ω‖₁=1.333449e-01
  λ=1.000e-01 | Epoch 120 | lr=1.2500e-04 | Recon MSE=2.146611e-01 | ‖ω‖₁=1.105655e-01
  λ=1.000e-01 | Epoch 130 | lr=6.2500e-05 | Recon MSE=2.514516e-01 | ‖ω‖₁=9.011883e-02
  λ=1.000e-01 | Epoch 140 | lr=6.2500e-05 | Recon MSE=2.995575e-01 | ‖ω‖₁=7.278495e-02
  λ=1.000e-01 | Epoch 150 | lr=6.2500e-05 | Recon MSE=3.407507e-01 | ‖ω‖₁=5.948561e-02
  λ=1.000e-01 | Epoch 160 | lr=3.1250e-05 | Recon MSE=3.695899e-01 | ‖ω‖₁=4.887362e-02
  → at λ=1.000e-01:  r(λ)=94,  rel_err=9.470188e-02

-- Path iteration 2, λ = 1.050e-01   (r(λ) prev = 94)
  λ=1.050e-01 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.803165e+00 | ‖ω‖₁=7.400741e+01
  λ=1.050e-01 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.662781e+00 | ‖ω‖₁=7.440977e-01
  λ=1.050e-01 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.860665e-01 | ‖ω‖₁=6.111598e-01
