2025-06-17 17:52:35,757 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 17:52:35,757 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_175235.log
2025-06-17 17:52:35,758 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 17:52:35,758 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 17:52:35,759 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 17:52:35,759 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [200, 5000, 200]
2025-06-17 17:52:35,759 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 17:52:35,760 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 17:52:35,760 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=256
2025-06-17 17:52:35,760 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 17:52:35,761 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 17:52:35,761 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 200)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.087160e-05 | ‖ω‖₁=1.996128e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.850584e-05 | ‖ω‖₁=1.957644e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.016703e-04 | ‖ω‖₁=1.917193e+02
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.128798e-04 | ‖ω‖₁=1.867535e+02
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.570448e-03 | ‖ω‖₁=1.818281e+02
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.634330e-03 | ‖ω‖₁=1.754757e+02
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.450744e-03 | ‖ω‖₁=1.690094e+02
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.397307e-03 | ‖ω‖₁=1.617347e+02
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=6.141781e-03 | ‖ω‖₁=1.543954e+02
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=6.298127e-03 | ‖ω‖₁=1.467201e+02
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=7.164439e-03 | ‖ω‖₁=1.390171e+02
  → at λ=1.000e-03:  r(λ)=200,  rel_err=1.599599e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 200)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.713341e-05 | ‖ω‖₁=1.995091e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.517176e-04 | ‖ω‖₁=1.945475e+02
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.963605e-03 | ‖ω‖₁=1.892797e+02
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.622642e-03 | ‖ω‖₁=1.822585e+02
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.007284e-03 | ‖ω‖₁=1.751747e+02
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.244335e-03 | ‖ω‖₁=1.668460e+02
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=6.045419e-03 | ‖ω‖₁=1.584711e+02
  λ=1.200e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.448157e-03 | ‖ω‖₁=1.494758e+02
  λ=1.200e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.817018e-03 | ‖ω‖₁=1.404332e+02
  λ=1.200e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=5.749655e-03 | ‖ω‖₁=1.311118e+02
  λ=1.200e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=6.535934e-03 | ‖ω‖₁=1.217731e+02
  → at λ=1.200e-03:  r(λ)=200,  rel_err=1.526835e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 200)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.042579e-04 | ‖ω‖₁=1.993936e+02
