Starting heat_equation experiment
Log file: logs/heat_equation_20250615_122424.log
Experiment: Heat Equation
Data shape: (128, 1000)
POD dimension: 128
Hidden units: [128, 8256]
Regularization method: dense2sparse
Device: mps
Training parameters: M=10.0, lr=0.001, batch_size=64
Optimizer: Adam, knee_method: zmethod
==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-04   (r(λ) prev = 128)
  λ=1.000e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.666312e-02 | ‖ω‖₁=1.119597e+00
  λ=1.000e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.526938e-05 | ‖ω‖₁=1.167819e+00
  λ=1.000e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=6.256952e-06 | ‖ω‖₁=1.173121e+00
  λ=1.000e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.067494e-06 | ‖ω‖₁=1.153493e+00
  λ=1.000e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.028761e-06 | ‖ω‖₁=1.137369e+00
  λ=1.000e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=4.676612e-06 | ‖ω‖₁=1.126892e+00
  λ=1.000e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.708636e-06 | ‖ω‖₁=1.117248e+00
  λ=1.000e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.644502e-06 | ‖ω‖₁=1.109403e+00
  λ=1.000e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.436123e-06 | ‖ω‖₁=1.106483e+00
  λ=1.000e-04 | Epoch  80 | Recon MSE=4.436123e-06 | ‖ω‖₁=1.106483e+00
  → at λ=1.000e-04:  r(λ)=127, rel_err=1.716558e-03

-- Path iteration 2, λ = 1.200e-04   (r(λ) prev = 127)
  λ=1.200e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.901146e-02 | ‖ω‖₁=1.121946e+00
  λ=1.200e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.693909e-05 | ‖ω‖₁=1.139011e+00
  λ=1.200e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=7.521777e-06 | ‖ω‖₁=1.161250e+00
  λ=1.200e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.210504e-06 | ‖ω‖₁=1.194696e+00
  λ=1.200e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.043827e-06 | ‖ω‖₁=1.179133e+00
  λ=1.200e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.287906e-06 | ‖ω‖₁=1.152802e+00
  λ=1.200e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.731609e-06 | ‖ω‖₁=1.125840e+00
  λ=1.200e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=5.074862e-06 | ‖ω‖₁=1.101955e+00
  λ=1.200e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=5.147506e-06 | ‖ω‖₁=1.092911e+00
  λ=1.200e-04 | Epoch  80 | Recon MSE=5.147506e-06 | ‖ω‖₁=1.092911e+00
  → at λ=1.200e-04:  r(λ)=127, rel_err=2.889881e-03

-- Path iteration 3, λ = 1.440e-04   (r(λ) prev = 127)
  λ=1.440e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.974127e-02 | ‖ω‖₁=1.119323e+00
  λ=1.440e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.662618e-05 | ‖ω‖₁=1.143773e+00
