2025-06-15 12:44:30,004 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-15 12:44:30,004 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250615_124430.log
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-15 12:44:30,005 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256]
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-15 12:44:30,006 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1e-05, lr=0.001, batch_size=64
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-15 12:44:30,007 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-07   (r(λ) prev = 128)
  λ=1.000e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268475e-01 | ‖ω‖₁=4.371849e-02
  λ=1.000e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.203598e-02 | ‖ω‖₁=6.029519e-01
  λ=1.000e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.237774e-03 | ‖ω‖₁=8.160179e-01
  λ=1.000e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.252806e-03 | ‖ω‖₁=8.178898e-01
  λ=1.000e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.247261e-03 | ‖ω‖₁=8.371791e-01
  λ=1.000e-07 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.350537e-03 | ‖ω‖₁=8.385365e-01
  λ=1.000e-07 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.352213e-03 | ‖ω‖₁=8.483152e-01
  λ=1.000e-07 | Epoch  70 | lr=6.2500e-05 | Recon MSE=2.004043e-03 | ‖ω‖₁=8.590915e-01
  λ=1.000e-07 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.125399e-03 | ‖ω‖₁=8.695763e-01
  → at λ=1.000e-07:  r(λ)=6,  rel_err=1.421710e-01

-- Path iteration 2, λ = 1.200e-07   (r(λ) prev = 6)
  λ=1.200e-07 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.268654e-01 | ‖ω‖₁=4.197604e-02
  λ=1.200e-07 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.221900e-02 | ‖ω‖₁=6.081219e-01
  λ=1.200e-07 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.350823e-03 | ‖ω‖₁=8.342567e-01
  λ=1.200e-07 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.240665e-03 | ‖ω‖₁=8.383841e-01
  λ=1.200e-07 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.537741e-03 | ‖ω‖₁=8.595398e-01
