2025-06-16 14:16:10,723 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-16 14:16:10,723 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250616_141610.log
2025-06-16 14:16:10,724 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-16 14:16:10,724 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-16 14:16:10,725 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-16 14:16:10,725 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256]
2025-06-16 14:16:10,725 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-16 14:16:10,725 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-16 14:16:10,726 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1.0, lr=0.001, batch_size=64
2025-06-16 14:16:10,726 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 14:16:10,726 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 128)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.133458e-01 | ‖ω‖₁=1.301303e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.615876e-05 | ‖ω‖₁=1.142239e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.819655e-05 | ‖ω‖₁=9.288129e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.537969e-05 | ‖ω‖₁=7.153918e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.027483e-05 | ‖ω‖₁=5.022096e+01
  λ=1.000e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.579612e-05 | ‖ω‖₁=2.907217e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=6.571504e-05 | ‖ω‖₁=1.389134e+01
  λ=1.000e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=6.152057e-05 | ‖ω‖₁=1.278423e+01
  λ=1.000e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=5.906978e-05 | ‖ω‖₁=1.218401e+01
  → at λ=1.000e-03:  r(λ)=16257,  rel_err=1.013777e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 16257)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.120419e-01 | ‖ω‖₁=1.298469e+02
