2025-06-16 14:34:56,333 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-16 14:34:56,333 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250616_143456.log
2025-06-16 14:34:56,334 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-16 14:34:56,334 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-16 14:34:56,334 - sparsemodesnet.heat_equation - INFO - POD dimension: 20
2025-06-16 14:34:56,335 - sparsemodesnet.heat_equation - INFO - Hidden units: [20, 210, 400]
2025-06-16 14:34:56,335 - sparsemodesnet.heat_equation - INFO - Regularization method: cv
2025-06-16 14:34:56,336 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-16 14:34:56,336 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1.0, lr=0.001, batch_size=64
2025-06-16 14:34:56,336 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 14:34:56,337 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=cv) on Heat Equation: d=128, n=1000, s=20 ===

=== Cross-Validation λ-Path ===
 CV testing λ = 1.000e-03. Currently 1/15 ...
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.694105e-03 | ‖ω‖₁=1.984645e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.874873e-04 | ‖ω‖₁=1.743423e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.216973e-04 | ‖ω‖₁=1.495535e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.335168e-04 | ‖ω‖₁=1.250902e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.711717e-04 | ‖ω‖₁=1.003775e+01
  λ=1.000e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=2.046758e-04 | ‖ω‖₁=7.556311e+00
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.834891e-04 | ‖ω‖₁=5.110054e+00
  λ=1.000e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=3.465184e-04 | ‖ω‖₁=3.953704e+00
  λ=1.000e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=3.531180e-04 | ‖ω‖₁=3.293739e+00
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.072588e-02 | ‖ω‖₁=1.985853e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.026133e-04 | ‖ω‖₁=1.741472e+01
