2025-06-16 15:38:05,331 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-16 15:38:05,332 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250616_153805.log
2025-06-16 15:38:05,332 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-16 15:38:05,333 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-16 15:38:05,333 - sparsemodesnet.heat_equation - INFO - POD dimension: 20
2025-06-16 15:38:05,333 - sparsemodesnet.heat_equation - INFO - Hidden units: [20, 210, 400]
2025-06-16 15:38:05,333 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-16 15:38:05,334 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-16 15:38:05,334 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1.0, lr=0.001, batch_size=64
2025-06-16 15:38:05,334 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 15:38:05,335 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=20 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 20)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.443506e-03 | ‖ω‖₁=1.981433e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.395996e-04 | ‖ω‖₁=1.735467e+01
  λ=1.000e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=1.661388e-04 | ‖ω‖₁=1.479842e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.491239e-04 | ‖ω‖₁=1.215014e+01
  λ=1.000e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=1.985738e-03 | ‖ω‖₁=9.493660e+00
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.036243e-03 | ‖ω‖₁=6.861456e+00
  λ=1.000e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=1.907016e-02 | ‖ω‖₁=5.719082e+00
  λ=1.000e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=4.242899e-02 | ‖ω‖₁=4.969496e+00
  λ=1.000e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=9.273334e-02 | ‖ω‖₁=4.207057e+00
  λ=1.000e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=1.705978e-01 | ‖ω‖₁=3.458231e+00
  λ=1.000e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=2.800396e-01 | ‖ω‖₁=2.737576e+00
  λ=1.000e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=4.323242e-01 | ‖ω‖₁=2.077635e+00
  λ=1.000e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=5.740624e-01 | ‖ω‖₁=1.648149e+00
  → at λ=1.000e-03:  r(λ)=20,  rel_err=1.320679e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 20)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.209892e-03 | ‖ω‖₁=1.978460e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=7.737621e-04 | ‖ω‖₁=1.680447e+01
  λ=1.200e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=9.385576e-04 | ‖ω‖₁=1.371328e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.177409e-03 | ‖ω‖₁=1.049940e+01
  λ=1.200e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=1.100204e-02 | ‖ω‖₁=7.243529e+00
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.478235e-02 | ‖ω‖₁=5.733616e+00
  λ=1.200e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=6.762644e-02 | ‖ω‖₁=4.776689e+00
  λ=1.200e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.315808e-01 | ‖ω‖₁=3.944483e+00
  λ=1.200e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=2.436087e-01 | ‖ω‖₁=3.074371e+00
  λ=1.200e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=4.016421e-01 | ‖ω‖₁=2.284815e+00
  λ=1.200e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=5.758151e-01 | ‖ω‖₁=1.707879e+00
  λ=1.200e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=6.109796e-01 | ‖ω‖₁=1.393102e+00
  λ=1.200e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=6.376597e-01 | ‖ω‖₁=1.129253e+00
  → at λ=1.200e-03:  r(λ)=20,  rel_err=1.295434e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 20)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.121258e-02 | ‖ω‖₁=1.975439e+01
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.332095e-03 | ‖ω‖₁=1.614475e+01
  λ=1.440e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=4.285588e-03 | ‖ω‖₁=1.236762e+01
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.537562e-02 | ‖ω‖₁=8.428037e+00
  λ=1.440e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=4.043929e-02 | ‖ω‖₁=5.668844e+00
  λ=1.440e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=8.389631e-02 | ‖ω‖₁=4.706130e+00
  λ=1.440e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=1.859455e-01 | ‖ω‖₁=3.692322e+00
  λ=1.440e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=3.284296e-01 | ‖ω‖₁=2.748149e+00
  λ=1.440e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=5.484238e-01 | ‖ω‖₁=1.907655e+00
  λ=1.440e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=6.216883e-01 | ‖ω‖₁=1.488699e+00
  λ=1.440e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=6.503969e-01 | ‖ω‖₁=1.177679e+00
  λ=1.440e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=6.708747e-01 | ‖ω‖₁=9.058979e-01
  λ=1.440e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=6.860121e-01 | ‖ω‖₁=6.664499e-01
  → at λ=1.440e-03:  r(λ)=18,  rel_err=1.337356e-02

-- Path iteration 4, λ = 1.728e-03   (r(λ) prev = 18)
  λ=1.728e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.712728e-03 | ‖ω‖₁=1.970772e+01
  λ=1.728e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.623166e-03 | ‖ω‖₁=1.532536e+01
  λ=1.728e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=1.409757e-02 | ‖ω‖₁=1.069498e+01
  λ=1.728e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.438701e-02 | ‖ω‖₁=6.164915e+00
  λ=1.728e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=1.106012e-01 | ‖ω‖₁=4.738059e+00
  λ=1.728e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.162923e-01 | ‖ω‖₁=3.623683e+00
  λ=1.728e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=4.240003e-01 | ‖ω‖₁=2.492125e+00
  λ=1.728e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=6.038969e-01 | ‖ω‖₁=1.801814e+00
  λ=1.728e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=6.494018e-01 | ‖ω‖₁=1.385570e+00
  λ=1.728e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=6.833486e-01 | ‖ω‖₁=1.035931e+00
  λ=1.728e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=7.100535e-01 | ‖ω‖₁=7.151843e-01
  λ=1.728e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=7.309585e-01 | ‖ω‖₁=4.364814e-01
  λ=1.728e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=7.472084e-01 | ‖ω‖₁=2.525231e-01
  → at λ=1.728e-03:  r(λ)=10,  rel_err=1.512451e-02

-- Path iteration 5, λ = 2.074e-03   (r(λ) prev = 10)
  λ=2.074e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.028005e-02 | ‖ω‖₁=1.965338e+01
  λ=2.074e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.394736e-02 | ‖ω‖₁=1.430667e+01
  λ=2.074e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=4.146168e-02 | ‖ω‖₁=8.622655e+00
  λ=2.074e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.168508e-01 | ‖ω‖₁=4.918634e+00
  λ=2.074e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.680808e-01 | ‖ω‖₁=3.420936e+00
  λ=2.074e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=4.950503e-01 | ‖ω‖₁=2.291221e+00
  λ=2.074e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=6.107420e-01 | ‖ω‖₁=1.648693e+00
  λ=2.074e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=6.534534e-01 | ‖ω‖₁=1.202108e+00
  λ=2.074e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=6.830932e-01 | ‖ω‖₁=8.188592e-01
  λ=2.074e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=7.076906e-01 | ‖ω‖₁=4.962554e-01
  λ=2.074e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=7.272090e-01 | ‖ω‖₁=3.058149e-01
  λ=2.074e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=7.428204e-01 | ‖ω‖₁=1.695463e-01
  λ=2.074e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=7.535134e-01 | ‖ω‖₁=1.228362e-01
  → at λ=2.074e-03:  r(λ)=2,  rel_err=1.803056e-02

-- Path iteration 6, λ = 2.488e-03   (r(λ) prev = 2)
  λ=2.488e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.511903e-03 | ‖ω‖₁=1.957506e+01
  λ=2.488e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.757569e-02 | ‖ω‖₁=1.309065e+01
  λ=2.488e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=9.317828e-02 | ‖ω‖₁=6.147001e+00
  λ=2.488e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.506782e-01 | ‖ω‖₁=3.766792e+00
  λ=2.488e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=5.453683e-01 | ‖ω‖₁=2.252554e+00
  λ=2.488e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=6.879122e-01 | ‖ω‖₁=1.561226e+00
  λ=2.488e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=7.223585e-01 | ‖ω‖₁=1.056411e+00
  λ=2.488e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=7.419534e-01 | ‖ω‖₁=6.359284e-01
  λ=2.488e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=7.561714e-01 | ‖ω‖₁=3.090204e-01
  λ=2.488e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=7.667367e-01 | ‖ω‖₁=1.922823e-01
  λ=2.488e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=7.755384e-01 | ‖ω‖₁=1.449744e-01
  λ=2.488e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=7.832690e-01 | ‖ω‖₁=1.077212e-01
  λ=2.488e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=7.892486e-01 | ‖ω‖₁=7.488888e-02
  → at λ=2.488e-03:  r(λ)=3,  rel_err=4.759687e-02

-- Path iteration 7, λ = 2.986e-03   (r(λ) prev = 3)
  λ=2.986e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.350855e-03 | ‖ω‖₁=1.949013e+01
  λ=2.986e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.418589e-02 | ‖ω‖₁=1.155790e+01
  λ=2.986e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=1.945205e-01 | ‖ω‖₁=4.636694e+00
  λ=2.986e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.003571e-01 | ‖ω‖₁=2.637739e+00
  λ=2.986e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=6.285842e-01 | ‖ω‖₁=1.808014e+00
  λ=2.986e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=6.729419e-01 | ‖ω‖₁=1.238508e+00
  λ=2.986e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=7.083998e-01 | ‖ω‖₁=7.323570e-01
  λ=2.986e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=7.336312e-01 | ‖ω‖₁=3.513334e-01
  λ=2.986e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=7.503502e-01 | ‖ω‖₁=2.014089e-01
  λ=2.986e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=7.625692e-01 | ‖ω‖₁=1.409681e-01
  λ=2.986e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=7.724677e-01 | ‖ω‖₁=9.835123e-02
  λ=2.986e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=7.809309e-01 | ‖ω‖₁=7.856063e-02
  λ=2.986e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=7.879017e-01 | ‖ω‖₁=6.404752e-02
  → at λ=2.986e-03:  r(λ)=2,  rel_err=4.734184e-02

-- Path iteration 8, λ = 3.583e-03   (r(λ) prev = 2)
