2025-06-16 15:42:34,834 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-16 15:42:34,834 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250616_154234.log
2025-06-16 15:42:34,835 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-16 15:42:34,835 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-16 15:42:34,835 - sparsemodesnet.heat_equation - INFO - POD dimension: 20
2025-06-16 15:42:34,836 - sparsemodesnet.heat_equation - INFO - Hidden units: [20, 20, 20, 20, 20, 20, 20, 20, 20, 20]
2025-06-16 15:42:34,836 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-16 15:42:34,836 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-16 15:42:34,837 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1.0, lr=0.001, batch_size=64
2025-06-16 15:42:34,837 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 15:42:34,837 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=20 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 20)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.303267e-03 | ‖ω‖₁=1.982240e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.481186e-05 | ‖ω‖₁=1.734145e+01
  λ=1.000e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=3.253171e-05 | ‖ω‖₁=1.471764e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.371888e-04 | ‖ω‖₁=1.198286e+01
  λ=1.000e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=3.132173e-04 | ‖ω‖₁=9.214196e+00
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.163621e-04 | ‖ω‖₁=6.488250e+00
  λ=1.000e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=1.075211e-03 | ‖ω‖₁=5.354851e+00
  λ=1.000e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.847311e-03 | ‖ω‖₁=4.563332e+00
  λ=1.000e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=2.629873e-03 | ‖ω‖₁=3.790083e+00
  λ=1.000e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=3.811469e-03 | ‖ω‖₁=3.110441e+00
  λ=1.000e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=4.898995e-03 | ‖ω‖₁=2.549607e+00
  λ=1.000e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=5.178265e-03 | ‖ω‖₁=2.089339e+00
  λ=1.000e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=5.685689e-03 | ‖ω‖₁=1.737741e+00
  → at λ=1.000e-03:  r(λ)=20,  rel_err=1.168129e-01

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 20)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.732546e-04 | ‖ω‖₁=1.980196e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.343534e-05 | ‖ω‖₁=1.683468e+01
  λ=1.200e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=1.002821e-04 | ‖ω‖₁=1.362700e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.112128e-04 | ‖ω‖₁=1.030723e+01
  λ=1.200e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=7.759273e-04 | ‖ω‖₁=6.920144e+00
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.229212e-03 | ‖ω‖₁=5.373855e+00
  λ=1.200e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=2.159875e-03 | ‖ω‖₁=4.378706e+00
  λ=1.200e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=3.720545e-03 | ‖ω‖₁=3.546478e+00
  λ=1.200e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=4.379398e-03 | ‖ω‖₁=2.804915e+00
  λ=1.200e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=5.233848e-03 | ‖ω‖₁=2.214697e+00
  λ=1.200e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=5.339797e-03 | ‖ω‖₁=1.765377e+00
  λ=1.200e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=5.685121e-03 | ‖ω‖₁=1.462494e+00
  λ=1.200e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=5.926804e-03 | ‖ω‖₁=1.204278e+00
  → at λ=1.200e-03:  r(λ)=20,  rel_err=1.099549e-01

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 20)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.980949e-04 | ‖ω‖₁=1.975253e+01
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.588243e-04 | ‖ω‖₁=1.608834e+01
  λ=1.440e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=4.278818e-04 | ‖ω‖₁=1.210595e+01
