2025-06-23 18:36:58,451 - sparsemodesnet.heat_equation_ff_decoder - INFO - Starting heat_equation_ff_decoder experiment
2025-06-23 18:36:58,451 - sparsemodesnet.heat_equation_ff_decoder - INFO - Log file: logs/heat_equation_ff_decoder_20250623_183658.log
2025-06-23 18:36:58,452 - sparsemodesnet.heat_equation_ff_decoder - INFO - Experiment: Heat Equation FF Decoder
2025-06-23 18:36:58,452 - sparsemodesnet.heat_equation_ff_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - POD dimension: 30
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Hidden units: [30, 465]
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Mode Selection Method: None
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Device: mps
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=16
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - NN type: Feedforward
2025-06-23 18:36:58,455 - sparsemodesnet.heat_equation_ff_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 3 selected modes ...
  Epoch   1 | lr=1.0000e-03 | Recon MSE=2.205203e-02
  Epoch  10 | lr=1.0000e-03 | Recon MSE=5.902946e-05
  Epoch  20 | lr=1.0000e-03 | Recon MSE=1.003392e-05
  Epoch  30 | lr=1.0000e-03 | Recon MSE=2.482459e-06
  Epoch  40 | lr=1.0000e-03 | Recon MSE=9.373371e-07
  Epoch  50 | lr=1.0000e-03 | Recon MSE=6.485379e-07
  Epoch  60 | lr=1.0000e-03 | Recon MSE=7.591992e-07
  Epoch  70 | lr=1.0000e-03 | Recon MSE=1.077678e-06
  Epoch  80 | lr=1.0000e-03 | Recon MSE=2.176983e-06
  Epoch  90 | lr=1.0000e-03 | Recon MSE=5.436892e-06
  Epoch 100 | lr=1.0000e-03 | Recon MSE=2.279148e-06
  Epoch 110 | lr=1.0000e-03 | Recon MSE=2.935874e-06
  Epoch 120 | lr=1.0000e-03 | Recon MSE=2.425657e-06
  Epoch 130 | lr=1.0000e-03 | Recon MSE=2.613068e-06
  Epoch 140 | lr=1.0000e-03 | Recon MSE=2.475191e-06
  Epoch 150 | lr=1.0000e-03 | Recon MSE=1.637245e-06
  Epoch 160 | lr=1.0000e-03 | Recon MSE=9.585541e-07
  Epoch 170 | lr=1.0000e-03 | Recon MSE=7.883737e-07
  Epoch 180 | lr=1.0000e-03 | Recon MSE=1.175302e-06
  Epoch 190 | lr=1.0000e-03 | Recon MSE=6.045064e-07
  Epoch 200 | lr=1.0000e-03 | Recon MSE=6.472900e-07
