2025-06-23 18:03:11,153 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Starting heat_equation_ff_sparse_decoder experiment
2025-06-23 18:03:11,153 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Log file: logs/heat_equation_ff_sparse_decoder_20250623_180311.log
2025-06-23 18:03:11,154 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Experiment: Heat Equation FF Sparse Decoder
2025-06-23 18:03:11,155 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:03:11,155 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - POD dimension: 30
2025-06-23 18:03:11,155 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Hidden units: [30, 465]
2025-06-23 18:03:11,156 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Mode Selection Method: dense2sparse
2025-06-23 18:03:11,157 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Device: mps
2025-06-23 18:03:11,157 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Training parameters: M=4.0, lr=0.001, batch_size=32
2025-06-23 18:03:11,157 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:03:11,158 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - NN type: Feedforward
2025-06-23 18:03:11,158 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - ==================================================

=== SparseModesNet (Modes Selection) on Heat Equation FF Sparse Decoder: d=128, n=1000, s=30 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 30)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.545344e-03 | ‖ω‖₁=2.948454e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=7.415311e-05 | ‖ω‖₁=2.084859e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=9.268158e-05 | ‖ω‖₁=1.168008e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.291238e-04 | ‖ω‖₁=2.625338e+00
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.307591e-04 | ‖ω‖₁=1.580253e+00
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.363604e-04 | ‖ω‖₁=1.180202e+00
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.215002e-04 | ‖ω‖₁=1.031888e+00
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.232568e-04 | ‖ω‖₁=9.628142e-01
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.216848e-04 | ‖ω‖₁=9.051618e-01
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.195780e-04 | ‖ω‖₁=8.532349e-01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.175638e-04 | ‖ω‖₁=8.067933e-01
  → at λ=1.000e-03:  r(λ)=30,  rel_err=1.069328e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 30)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.324243e-03 | ‖ω‖₁=2.938576e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.199745e-04 | ‖ω‖₁=1.911658e+01
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.331091e-04 | ‖ω‖₁=8.195577e+00
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.774504e-04 | ‖ω‖₁=1.816531e+00
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.605554e-04 | ‖ω‖₁=1.388814e+00
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.613917e-04 | ‖ω‖₁=1.008127e+00
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.513890e-04 | ‖ω‖₁=9.232758e-01
  λ=1.200e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.397956e-04 | ‖ω‖₁=8.527466e-01
  λ=1.200e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.375548e-04 | ‖ω‖₁=7.915640e-01
  λ=1.200e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.348731e-04 | ‖ω‖₁=7.373255e-01
  λ=1.200e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.370100e-04 | ‖ω‖₁=6.884002e-01
  → at λ=1.200e-03:  r(λ)=30,  rel_err=1.200489e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 30)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.996663e-03 | ‖ω‖₁=2.928399e+01
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.343282e-04 | ‖ω‖₁=1.702276e+01
  λ=1.440e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.719310e-04 | ‖ω‖₁=3.897469e+00
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.597038e-04 | ‖ω‖₁=1.532910e+00
  λ=1.440e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.600213e-04 | ‖ω‖₁=1.115533e+00
  λ=1.440e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.559494e-04 | ‖ω‖₁=9.788702e-01
  λ=1.440e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.434215e-04 | ‖ω‖₁=9.024621e-01
  λ=1.440e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.341771e-04 | ‖ω‖₁=8.331290e-01
  λ=1.440e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.443310e-04 | ‖ω‖₁=7.723866e-01
  λ=1.440e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.293603e-04 | ‖ω‖₁=7.167232e-01
  λ=1.440e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.286317e-04 | ‖ω‖₁=6.649366e-01
  → at λ=1.440e-03:  r(λ)=30,  rel_err=1.188273e-02

-- Path iteration 4, λ = 1.728e-03   (r(λ) prev = 30)
  λ=1.728e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.709043e-03 | ‖ω‖₁=2.913898e+01
  λ=1.728e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.455840e-04 | ‖ω‖₁=1.441825e+01
  λ=1.728e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.813493e-04 | ‖ω‖₁=1.843339e+00
  λ=1.728e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.666902e-04 | ‖ω‖₁=1.164510e+00
  λ=1.728e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.465162e-04 | ‖ω‖₁=9.524378e-01
  λ=1.728e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.307541e-04 | ‖ω‖₁=8.492662e-01
  λ=1.728e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.326006e-04 | ‖ω‖₁=7.682522e-01
  λ=1.728e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.315294e-04 | ‖ω‖₁=6.976368e-01
  λ=1.728e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.255165e-04 | ‖ω‖₁=6.359417e-01
  λ=1.728e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.149133e-04 | ‖ω‖₁=5.788959e-01
  λ=1.728e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.209944e-04 | ‖ω‖₁=5.261076e-01
  → at λ=1.728e-03:  r(λ)=30,  rel_err=1.118661e-02

-- Path iteration 5, λ = 2.074e-03   (r(λ) prev = 30)
  λ=2.074e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.073320e-03 | ‖ω‖₁=2.896914e+01
  λ=2.074e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.433395e-04 | ‖ω‖₁=1.138856e+01
  λ=2.074e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.539972e-04 | ‖ω‖₁=1.482681e+00
  λ=2.074e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.505865e-04 | ‖ω‖₁=1.005788e+00
  λ=2.074e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.360077e-04 | ‖ω‖₁=8.751322e-01
  λ=2.074e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.329799e-04 | ‖ω‖₁=7.748688e-01
  λ=2.074e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.309990e-04 | ‖ω‖₁=6.926924e-01
  λ=2.074e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.176044e-04 | ‖ω‖₁=6.177911e-01
  λ=2.074e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.193727e-04 | ‖ω‖₁=5.519892e-01
  λ=2.074e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.214236e-04 | ‖ω‖₁=4.909283e-01
  λ=2.074e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.213814e-04 | ‖ω‖₁=4.349138e-01
  → at λ=2.074e-03:  r(λ)=30,  rel_err=1.118503e-02

-- Path iteration 6, λ = 2.488e-03   (r(λ) prev = 30)
  λ=2.488e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.938085e-03 | ‖ω‖₁=2.877059e+01
  λ=2.488e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.034348e-04 | ‖ω‖₁=7.696471e+00
  λ=2.488e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.075980e-04 | ‖ω‖₁=1.153137e+00
  λ=2.488e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.988922e-04 | ‖ω‖₁=9.189871e-01
  λ=2.488e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.824982e-04 | ‖ω‖₁=7.992929e-01
  λ=2.488e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.600652e-04 | ‖ω‖₁=6.981242e-01
  λ=2.488e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.536893e-04 | ‖ω‖₁=6.136400e-01
  λ=2.488e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.572788e-04 | ‖ω‖₁=5.361458e-01
  λ=2.488e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.595079e-04 | ‖ω‖₁=4.658684e-01
  λ=2.488e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.413308e-04 | ‖ω‖₁=4.000357e-01
  λ=2.488e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.386565e-04 | ‖ω‖₁=3.383245e-01
  → at λ=2.488e-03:  r(λ)=30,  rel_err=1.265059e-02

-- Path iteration 7, λ = 2.986e-03   (r(λ) prev = 30)
  λ=2.986e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.110302e-03 | ‖ω‖₁=2.853296e+01
  λ=2.986e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.642535e-04 | ‖ω‖₁=3.229847e+00
  λ=2.986e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.085842e-04 | ‖ω‖₁=1.047736e+00
  λ=2.986e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.808648e-04 | ‖ω‖₁=8.747124e-01
  λ=2.986e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.539633e-04 | ‖ω‖₁=7.516285e-01
  λ=2.986e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.404967e-04 | ‖ω‖₁=6.474653e-01
  λ=2.986e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.463676e-04 | ‖ω‖₁=5.562405e-01
  λ=2.986e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.360391e-04 | ‖ω‖₁=4.723884e-01
  λ=2.986e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.373113e-04 | ‖ω‖₁=3.956016e-01
  λ=2.986e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.334426e-04 | ‖ω‖₁=3.238727e-01
  λ=2.986e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.385164e-04 | ‖ω‖₁=2.563630e-01
  → at λ=2.986e-03:  r(λ)=30,  rel_err=1.222260e-02

-- Path iteration 8, λ = 3.583e-03   (r(λ) prev = 30)
  λ=3.583e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.200834e-03 | ‖ω‖₁=2.823097e+01
  λ=3.583e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.637226e-04 | ‖ω‖₁=1.505854e+00
  λ=3.583e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.803286e-04 | ‖ω‖₁=9.629371e-01
  λ=3.583e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.459278e-04 | ‖ω‖₁=7.903055e-01
  λ=3.583e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.493685e-04 | ‖ω‖₁=6.577955e-01
  λ=3.583e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.351838e-04 | ‖ω‖₁=5.443752e-01
  λ=3.583e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.364218e-04 | ‖ω‖₁=4.435163e-01
  λ=3.583e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.254457e-04 | ‖ω‖₁=3.510097e-01
  λ=3.583e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.257457e-04 | ‖ω‖₁=2.658583e-01
  λ=3.583e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.245362e-04 | ‖ω‖₁=1.879883e-01
  λ=3.583e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.295032e-04 | ‖ω‖₁=1.189746e-01
  → at λ=3.583e-03:  r(λ)=25,  rel_err=1.371006e-02

-- Path iteration 9, λ = 4.300e-03   (r(λ) prev = 25)
  λ=4.300e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.738199e-03 | ‖ω‖₁=2.789515e+01
  λ=4.300e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.244672e-04 | ‖ω‖₁=1.172979e+00
  λ=4.300e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.796417e-04 | ‖ω‖₁=8.762584e-01
  λ=4.300e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.706610e-04 | ‖ω‖₁=6.953281e-01
  λ=4.300e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.508956e-04 | ‖ω‖₁=5.522851e-01
  λ=4.300e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.492304e-04 | ‖ω‖₁=4.313792e-01
  λ=4.300e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.380838e-04 | ‖ω‖₁=3.249297e-01
  λ=4.300e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.441923e-04 | ‖ω‖₁=2.267273e-01
  λ=4.300e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.368202e-04 | ‖ω‖₁=1.424151e-01
  λ=4.300e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.455451e-04 | ‖ω‖₁=8.746671e-02
  λ=4.300e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.370196e-04 | ‖ω‖₁=6.555642e-02
  → at λ=4.300e-03:  r(λ)=3,  rel_err=1.438217e-02

-- Path iteration 10, λ = 5.160e-03   (r(λ) prev = 3)
  λ=5.160e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.119582e-03 | ‖ω‖₁=2.746775e+01
  λ=5.160e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.585848e-04 | ‖ω‖₁=1.068119e+00
  λ=5.160e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.926417e-04 | ‖ω‖₁=7.728203e-01
  λ=5.160e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.700809e-04 | ‖ω‖₁=5.791265e-01
  λ=5.160e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.547736e-04 | ‖ω‖₁=4.284669e-01
  λ=5.160e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.498134e-04 | ‖ω‖₁=2.971213e-01
  λ=5.160e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.378502e-04 | ‖ω‖₁=1.815728e-01
  λ=5.160e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.435472e-04 | ‖ω‖₁=1.020099e-01
  λ=5.160e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.484530e-04 | ‖ω‖₁=6.565954e-02
  λ=5.160e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.553951e-04 | ‖ω‖₁=5.788113e-02
  λ=5.160e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.362634e-04 | ‖ω‖₁=5.450458e-02
  → at λ=5.160e-03:  r(λ)=2,  rel_err=1.614579e-02

-- Path iteration 11, λ = 6.192e-03   (r(λ) prev = 2)
  λ=6.192e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.734383e-03 | ‖ω‖₁=2.696809e+01
  λ=6.192e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.040540e-04 | ‖ω‖₁=9.784525e-01
  λ=6.192e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.566259e-04 | ‖ω‖₁=6.845466e-01
  λ=6.192e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.411503e-04 | ‖ω‖₁=4.867032e-01
  λ=6.192e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.420768e-04 | ‖ω‖₁=3.257965e-01
  λ=6.192e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.290087e-04 | ‖ω‖₁=1.845974e-01
  λ=6.192e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.224572e-04 | ‖ω‖₁=8.701254e-02
  λ=6.192e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.364708e-04 | ‖ω‖₁=6.227125e-02
  λ=6.192e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.232888e-04 | ‖ω‖₁=5.831817e-02
  λ=6.192e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.394693e-04 | ‖ω‖₁=5.404692e-02
  λ=6.192e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.428864e-04 | ‖ω‖₁=5.074733e-02
  → at λ=6.192e-03:  r(λ)=2,  rel_err=1.794433e-02

-- Path iteration 12, λ = 7.430e-03   (r(λ) prev = 2)
  λ=7.430e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.370520e-03 | ‖ω‖₁=2.638426e+01
  λ=7.430e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.188508e-04 | ‖ω‖₁=9.257662e-01
  λ=7.430e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.758272e-04 | ‖ω‖₁=6.137585e-01
  λ=7.430e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.522718e-04 | ‖ω‖₁=3.983506e-01
  λ=7.430e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.291193e-04 | ‖ω‖₁=2.258054e-01
