2025-06-23 18:42:35,541 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Starting heat_equation_ff_sparse_decoder experiment
2025-06-23 18:42:35,541 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Log file: logs/heat_equation_ff_sparse_decoder_20250623_184235.log
2025-06-23 18:42:35,541 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Experiment: Heat Equation FF Sparse Decoder
2025-06-23 18:42:35,542 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:42:35,542 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - POD dimension: 30
2025-06-23 18:42:35,542 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Hidden units: [30, 465]
2025-06-23 18:42:35,543 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Mode Selection Method: dense2sparse
2025-06-23 18:42:35,543 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Device: mps
2025-06-23 18:42:35,543 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Training parameters: M=4.0, lr=0.001, batch_size=32
2025-06-23 18:42:35,543 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:42:35,544 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - NN type: Feedforward
2025-06-23 18:42:35,544 - sparsemodesnet.heat_equation_ff_sparse_decoder - INFO - ==================================================

=== SparseModesNet (Mode Selection) on Heat Equation FF Sparse Decoder: d=128, n=1000, s=30 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03 (r(λ) prev = 30)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.085650e-03 | ‖ω‖₁=2.948291e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=8.575203e-05 | ‖ω‖₁=2.084505e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=9.648801e-05 | ‖ω‖₁=1.175073e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.292430e-04 | ‖ω‖₁=2.629316e+00
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.442460e-04 | ‖ω‖₁=1.604394e+00
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.545106e-04 | ‖ω‖₁=1.226384e+00
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.414193e-04 | ‖ω‖₁=9.915323e-01
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.368965e-04 | ‖ω‖₁=9.171989e-01
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.408072e-04 | ‖ω‖₁=8.569820e-01
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.307486e-04 | ‖ω‖₁=8.062627e-01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.227173e-04 | ‖ω‖₁=7.594122e-01
  → at λ=1.000e-03: r(λ)=30, rel_err=1.191109e-02

-- Path iteration 2, λ = 1.200e-03 (r(λ) prev = 30)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.648522e-03 | ‖ω‖₁=2.938411e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.109283e-04 | ‖ω‖₁=1.913563e+01
