2025-06-23 18:00:01,158 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Starting heat_equation_pi-net_decoder experiment
2025-06-23 18:00:01,159 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Log file: logs/heat_equation_pi-net_decoder_20250623_180001.log
2025-06-23 18:00:01,159 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Experiment: Heat Equation Pi-Net Decoder
2025-06-23 18:00:01,159 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:00:01,160 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - POD dimension: 30
2025-06-23 18:00:01,160 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Hidden units: [30, 900, 128]
2025-06-23 18:00:01,161 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Mode Selection Method: None
2025-06-23 18:00:01,161 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Device: mps
2025-06-23 18:00:01,161 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=32
2025-06-23 18:00:01,162 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:00:01,162 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-23 18:00:01,163 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 3 selected modes ...
  Epoch   1 | lr=1.0000e-03 | Recon MSE=6.159925e-03
  Epoch  10 | lr=1.0000e-03 | Recon MSE=5.893134e-07
  Epoch  20 | lr=1.0000e-03 | Recon MSE=3.017351e-07
  Epoch  30 | lr=1.0000e-03 | Recon MSE=2.862194e-07
  Epoch  40 | lr=1.0000e-03 | Recon MSE=2.779887e-07
  Epoch  50 | lr=1.0000e-03 | Recon MSE=3.012202e-07
  Epoch  60 | lr=1.0000e-03 | Recon MSE=2.439374e-07
  Epoch  70 | lr=1.0000e-03 | Recon MSE=2.451055e-07
  Epoch  80 | lr=1.0000e-03 | Recon MSE=2.419631e-07
  Epoch  90 | lr=1.0000e-03 | Recon MSE=3.673678e-07
  Epoch 100 | lr=1.0000e-03 | Recon MSE=1.285211e-06
  Epoch 110 | lr=1.0000e-03 | Recon MSE=4.779461e-08
  Epoch 120 | lr=1.0000e-03 | Recon MSE=1.611205e-07
  Epoch 130 | lr=1.0000e-03 | Recon MSE=1.256992e-06
  Epoch 140 | lr=1.0000e-03 | Recon MSE=3.253631e-08
  Epoch 150 | lr=1.0000e-03 | Recon MSE=2.634292e-08
  Epoch 160 | lr=1.0000e-03 | Recon MSE=8.057123e-07
  Epoch 170 | lr=1.0000e-03 | Recon MSE=1.975516e-06
  Epoch 180 | lr=1.0000e-03 | Recon MSE=1.242257e-06
  Epoch 190 | lr=1.0000e-03 | Recon MSE=9.953283e-08
  Epoch 200 | lr=5.0000e-04 | Recon MSE=7.015724e-08
  Epoch 210 | lr=5.0000e-04 | Recon MSE=3.973955e-09
  Epoch 220 | lr=5.0000e-04 | Recon MSE=5.786318e-09
  Epoch 230 | lr=5.0000e-04 | Recon MSE=6.126378e-09
  Epoch 240 | lr=5.0000e-04 | Recon MSE=4.901256e-09
  Epoch 250 | lr=5.0000e-04 | Recon MSE=2.994681e-08
  Epoch 260 | lr=5.0000e-04 | Recon MSE=3.846002e-07
  Epoch 270 | lr=5.0000e-04 | Recon MSE=4.060978e-07
  Epoch 280 | lr=5.0000e-04 | Recon MSE=9.763893e-08
  Epoch 290 | lr=5.0000e-04 | Recon MSE=7.974745e-09
  Epoch 300 | lr=5.0000e-04 | Recon MSE=2.401958e-07
  Epoch 310 | lr=5.0000e-04 | Recon MSE=7.414883e-08
  Epoch 320 | lr=5.0000e-04 | Recon MSE=2.010914e-07
  Epoch 330 | lr=5.0000e-04 | Recon MSE=1.848503e-08
  Epoch 340 | lr=5.0000e-04 | Recon MSE=7.073787e-09
  Epoch 350 | lr=5.0000e-04 | Recon MSE=4.683862e-08
  Epoch 360 | lr=5.0000e-04 | Recon MSE=2.017197e-08
