2025-06-23 18:52:57,743 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Starting heat_equation_pi-net_sparse_decoder experiment
2025-06-23 18:52:57,743 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Log file: logs/heat_equation_pi-net_sparse_decoder_20250623_185257.log
2025-06-23 18:52:57,744 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Experiment: Heat Equation Pi-Net Sparse Decoder
2025-06-23 18:52:57,744 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:52:57,744 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - POD dimension: 30
2025-06-23 18:52:57,745 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Hidden units: [30, 465, 128]
2025-06-23 18:52:57,745 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Mode Selection Method: dense2sparse
2025-06-23 18:52:57,745 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Device: mps
2025-06-23 18:52:57,746 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Training parameters: M=4.0, lr=0.001, batch_size=32
2025-06-23 18:52:57,746 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:52:57,746 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-23 18:52:57,746 - sparsemodesnet.heat_equation_pi-net_sparse_decoder - INFO - ==================================================

=== SparseModesNet (Mode Selection) on Heat Equation Pi-Net Sparse Decoder: d=128, n=1000, s=30 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03 (r(λ) prev = 30)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.490371e-04 | ‖ω‖₁=2.949813e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.422267e-07 | ‖ω‖₁=2.132043e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.868911e-07 | ‖ω‖₁=1.245835e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.234679e-07 | ‖ω‖₁=3.469999e+00
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.394065e-07 | ‖ω‖₁=2.457180e+00
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.456394e-07 | ‖ω‖₁=1.851361e+00
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=8.160743e-07 | ‖ω‖₁=1.364225e+00
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=9.086067e-07 | ‖ω‖₁=1.141226e+00
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.537296e-07 | ‖ω‖₁=1.064271e+00
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=5.116935e-07 | ‖ω‖₁=9.980527e-01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.042276e-07 | ‖ω‖₁=9.448724e-01
  → at λ=1.000e-03: r(λ)=30, rel_err=1.761216e-03

-- Path iteration 2, λ = 1.200e-03 (r(λ) prev = 30)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.421696e-04 | ‖ω‖₁=2.941346e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.761055e-07 | ‖ω‖₁=1.954256e+01
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.438126e-07 | ‖ω‖₁=8.881086e+00
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.960896e-07 | ‖ω‖₁=2.525439e+00
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.183489e-07 | ‖ω‖₁=1.899130e+00
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.688104e-06 | ‖ω‖₁=1.321527e+00
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.277406e-07 | ‖ω‖₁=1.133253e+00
  λ=1.200e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.871018e-07 | ‖ω‖₁=1.052293e+00
  λ=1.200e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.453396e-07 | ‖ω‖₁=9.793723e-01
  λ=1.200e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=4.723817e-07 | ‖ω‖₁=9.183749e-01
  λ=1.200e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.686476e-07 | ‖ω‖₁=8.630414e-01
  → at λ=1.200e-03: r(λ)=30, rel_err=1.895711e-03

-- Path iteration 3, λ = 1.440e-03 (r(λ) prev = 30)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.312208e-04 | ‖ω‖₁=2.927551e+01
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.440339e-07 | ‖ω‖₁=1.740700e+01
  λ=1.440e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.909520e-07 | ‖ω‖₁=4.493699e+00
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.138609e-07 | ‖ω‖₁=1.938150e+00
  λ=1.440e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.627666e-07 | ‖ω‖₁=1.342530e+00
  λ=1.440e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.913748e-07 | ‖ω‖₁=1.136979e+00
  λ=1.440e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.583284e-07 | ‖ω‖₁=1.051209e+00
  λ=1.440e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.781634e-07 | ‖ω‖₁=9.744943e-01
  λ=1.440e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.776330e-07 | ‖ω‖₁=9.064188e-01
  λ=1.440e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.381697e-07 | ‖ω‖₁=8.419697e-01
  λ=1.440e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.537032e-07 | ‖ω‖₁=7.830602e-01
  → at λ=1.440e-03: r(λ)=30, rel_err=1.662438e-03

-- Path iteration 4, λ = 1.728e-03 (r(λ) prev = 30)
  λ=1.728e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.626466e-04 | ‖ω‖₁=2.915610e+01
  λ=1.728e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=6.499249e-07 | ‖ω‖₁=1.482362e+01
  λ=1.728e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.846393e-06 | ‖ω‖₁=2.347976e+00
  λ=1.728e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.909803e-06 | ‖ω‖₁=1.403082e+00
  λ=1.728e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.159760e-06 | ‖ω‖₁=1.076684e+00
  λ=1.728e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.248773e-06 | ‖ω‖₁=9.823393e-01
  λ=1.728e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.579704e-07 | ‖ω‖₁=9.016843e-01
  λ=1.728e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=5.542087e-07 | ‖ω‖₁=8.250902e-01
  λ=1.728e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.910556e-07 | ‖ω‖₁=7.570291e-01
  λ=1.728e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=5.152430e-07 | ‖ω‖₁=6.955874e-01
  λ=1.728e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.863204e-07 | ‖ω‖₁=6.394385e-01
  → at λ=1.728e-03: r(λ)=30, rel_err=1.939875e-03

-- Path iteration 5, λ = 2.074e-03 (r(λ) prev = 30)
  λ=2.074e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.461986e-04 | ‖ω‖₁=2.898099e+01
  λ=2.074e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=6.805755e-07 | ‖ω‖₁=1.181170e+01
  λ=2.074e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=7.786987e-07 | ‖ω‖₁=1.871386e+00
  λ=2.074e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.484507e-06 | ‖ω‖₁=1.144991e+00
  λ=2.074e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.790808e-07 | ‖ω‖₁=1.011571e+00
  λ=2.074e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.941358e-07 | ‖ω‖₁=9.022776e-01
  λ=2.074e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.474605e-07 | ‖ω‖₁=8.118096e-01
  λ=2.074e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.961968e-07 | ‖ω‖₁=7.328982e-01
  λ=2.074e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=3.487611e-07 | ‖ω‖₁=6.637066e-01
  λ=2.074e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=4.065223e-07 | ‖ω‖₁=5.998483e-01
  λ=2.074e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.064363e-07 | ‖ω‖₁=5.408093e-01
  → at λ=2.074e-03: r(λ)=30, rel_err=1.779002e-03

-- Path iteration 6, λ = 2.488e-03 (r(λ) prev = 30)
  λ=2.488e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.173544e-04 | ‖ω‖₁=2.878146e+01
  λ=2.488e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.473383e-06 | ‖ω‖₁=8.051523e+00
  λ=2.488e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.390634e-06 | ‖ω‖₁=1.421346e+00
  λ=2.488e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.664065e-06 | ‖ω‖₁=1.074911e+00
  λ=2.488e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.263993e-06 | ‖ω‖₁=9.597269e-01
  λ=2.488e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=9.080537e-07 | ‖ω‖₁=8.518615e-01
  λ=2.488e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=6.632126e-07 | ‖ω‖₁=7.566172e-01
  λ=2.488e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=7.543118e-07 | ‖ω‖₁=6.701877e-01
  λ=2.488e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=6.899938e-07 | ‖ω‖₁=5.935412e-01
  λ=2.488e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=8.443138e-07 | ‖ω‖₁=5.228301e-01
  λ=2.488e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=8.293400e-07 | ‖ω‖₁=4.581249e-01
  → at λ=2.488e-03: r(λ)=30, rel_err=2.531948e-03

-- Path iteration 7, λ = 2.986e-03 (r(λ) prev = 30)
  λ=2.986e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.776265e-04 | ‖ω‖₁=2.855678e+01
  λ=2.986e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.175911e-06 | ‖ω‖₁=3.696023e+00
  λ=2.986e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.163456e-06 | ‖ω‖₁=1.177587e+00
  λ=2.986e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.752419e-07 | ‖ω‖₁=9.858049e-01
  λ=2.986e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.860851e-07 | ‖ω‖₁=8.566507e-01
  λ=2.986e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.528287e-07 | ‖ω‖₁=7.482035e-01
  λ=2.986e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.211792e-07 | ‖ω‖₁=6.543352e-01
  λ=2.986e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.501511e-07 | ‖ω‖₁=5.698589e-01
  λ=2.986e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=3.255886e-07 | ‖ω‖₁=4.929657e-01
  λ=2.986e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=4.059737e-07 | ‖ω‖₁=4.194779e-01
  λ=2.986e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.209491e-07 | ‖ω‖₁=3.506237e-01
  → at λ=2.986e-03: r(λ)=30, rel_err=1.798769e-03

-- Path iteration 8, λ = 3.583e-03 (r(λ) prev = 30)
  λ=3.583e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.012285e-04 | ‖ω‖₁=2.825573e+01
  λ=3.583e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=8.032314e-06 | ‖ω‖₁=1.805527e+00
