2025-06-24 17:17:59,009 - sparsemodesnet.pulse_ff_decoder - INFO - Starting pulse_ff_decoder experiment
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Log file: logs/pulse_ff_decoder_20250624_171759.log
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Experiment: Pulse FF Decoder
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Data shape: (1024, 1000)
2025-06-24 17:17:59,011 - sparsemodesnet.pulse_ff_decoder - INFO - POD dimension: 200
2025-06-24 17:17:59,011 - sparsemodesnet.pulse_ff_decoder - INFO - Hidden units: [200, 20100]
2025-06-24 17:17:59,012 - sparsemodesnet.pulse_ff_decoder - INFO - Mode Selection Method: None
2025-06-24 17:17:59,012 - sparsemodesnet.pulse_ff_decoder - INFO - Device: mps
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=128
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - NN type: Feedforward
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 20 selected modes ...
  Epoch   1 | lr=1.0000e-03 | Recon MSE=3.985642e+02
  Epoch  10 | lr=1.0000e-03 | Recon MSE=9.759458e-01
  Epoch  20 | lr=1.0000e-03 | Recon MSE=4.959718e-01
  Epoch  30 | lr=1.0000e-03 | Recon MSE=4.324668e-01
  Epoch  40 | lr=1.0000e-03 | Recon MSE=3.933428e-01
  Epoch  50 | lr=1.0000e-03 | Recon MSE=3.790412e-01
  Epoch  60 | lr=1.0000e-03 | Recon MSE=3.741021e-01
  Epoch  70 | lr=1.0000e-03 | Recon MSE=3.271339e-01
  Epoch  80 | lr=1.0000e-03 | Recon MSE=3.174518e-01
  Epoch  90 | lr=1.0000e-03 | Recon MSE=3.029757e-01
  Epoch 100 | lr=1.0000e-03 | Recon MSE=2.820521e-01
  Epoch 110 | lr=1.0000e-03 | Recon MSE=2.725086e-01
  Epoch 120 | lr=1.0000e-03 | Recon MSE=2.611986e-01
  Epoch 130 | lr=1.0000e-03 | Recon MSE=2.463942e-01
  Epoch 140 | lr=1.0000e-03 | Recon MSE=2.524360e-01
  Epoch 150 | lr=1.0000e-03 | Recon MSE=2.228360e-01
  Epoch 160 | lr=1.0000e-03 | Recon MSE=2.519599e-01
  Epoch 170 | lr=1.0000e-03 | Recon MSE=2.721631e-01
  Epoch 180 | lr=1.0000e-03 | Recon MSE=2.561365e-01
  Epoch 190 | lr=1.0000e-03 | Recon MSE=2.361795e-01
  Epoch 200 | lr=1.0000e-03 | Recon MSE=2.145408e-01
  Epoch 210 | lr=1.0000e-03 | Recon MSE=2.535083e-01
  Epoch 220 | lr=1.0000e-03 | Recon MSE=3.211024e-01
  Epoch 230 | lr=1.0000e-03 | Recon MSE=2.394605e-01
  Epoch 240 | lr=1.0000e-03 | Recon MSE=2.462464e-01
  Epoch 250 | lr=1.0000e-03 | Recon MSE=2.658778e-01
  Epoch 260 | lr=1.0000e-03 | Recon MSE=3.254500e-01
  Epoch 270 | lr=1.0000e-03 | Recon MSE=4.000134e-01
  Epoch 280 | lr=1.0000e-03 | Recon MSE=5.981394e-01
  Epoch 290 | lr=1.0000e-03 | Recon MSE=3.004887e-01
  Epoch 300 | lr=1.0000e-03 | Recon MSE=4.259962e-01
  Epoch 310 | lr=1.0000e-03 | Recon MSE=3.155909e-01
  Epoch 320 | lr=1.0000e-03 | Recon MSE=5.817850e-01
  Epoch 330 | lr=1.0000e-03 | Recon MSE=9.539705e-01
  Epoch 340 | lr=1.0000e-03 | Recon MSE=5.374960e-01
  Epoch 350 | lr=1.0000e-03 | Recon MSE=4.695503e-01
  Epoch 360 | lr=1.0000e-03 | Recon MSE=4.336922e-01
  Epoch 370 | lr=1.0000e-03 | Recon MSE=3.587906e-01
  Epoch 380 | lr=1.0000e-03 | Recon MSE=7.293168e-01
  Epoch 390 | lr=1.0000e-03 | Recon MSE=4.552944e-01
  Epoch 400 | lr=5.0000e-04 | Recon MSE=7.941239e-01
  Epoch 410 | lr=5.0000e-04 | Recon MSE=7.079025e-02
  Epoch 420 | lr=5.0000e-04 | Recon MSE=6.989750e-02
  Epoch 430 | lr=5.0000e-04 | Recon MSE=6.617341e-02
  Epoch 440 | lr=5.0000e-04 | Recon MSE=6.477953e-02
  Epoch 450 | lr=5.0000e-04 | Recon MSE=6.596442e-02
  Epoch 460 | lr=5.0000e-04 | Recon MSE=6.578920e-02
  Epoch 470 | lr=5.0000e-04 | Recon MSE=6.672621e-02
  Epoch 480 | lr=5.0000e-04 | Recon MSE=6.723107e-02
  Epoch 490 | lr=5.0000e-04 | Recon MSE=6.776573e-02
  Epoch 500 | lr=5.0000e-04 | Recon MSE=7.013235e-02
  Epoch 510 | lr=5.0000e-04 | Recon MSE=7.353157e-02
  Epoch 520 | lr=5.0000e-04 | Recon MSE=7.694050e-02
  Epoch 530 | lr=5.0000e-04 | Recon MSE=7.867459e-02
  Epoch 540 | lr=5.0000e-04 | Recon MSE=1.001605e-01
  Epoch 550 | lr=5.0000e-04 | Recon MSE=1.038300e-01
